jur_clean,year,BP_VLOW_INCOME_DR,BP_VLOW_INCOME_NDR,BP_LOW_INCOME_DR,BP_LOW_INCOME_NDR,BP_MOD_INCOME_DR,BP_MOD_INCOME_NDR,BP_ABOVE_MOD_INCOME,CO_VLOW_INCOME_DR,CO_VLOW_INCOME_NDR,CO_LOW_INCOME_DR,CO_LOW_INCOME_NDR,CO_MOD_INCOME_DR,CO_MOD_INCOME_NDR,CO_ABOVE_MOD_INCOME,bp_units_total,co_units_total,bp_affordable_total,co_affordable_total,bp_affordable_share,co_affordable_share,jur_norm,population,median_household_income,median_gross_rent,pct_renter,population_total,housing_units_total,housing_units_per_1000_pop,co_units_per_10k_pop
CARLSBAD,2024,3.0,0.0,14.0,0.0,0.0,51.0,221.0,0.0,0.0,87.0,0.0,0.0,67.0,80.0,289.0,234.0,68.0,154.0,0.23529411764705882,0.6581196581196581,CARLSBAD,,,,,116368.0,48888.0,420.1154956689124,
CHULA VISTA,2024,14.0,0.0,41.0,0.0,0.0,0.0,1588.0,42.0,0.0,213.0,0.0,0.0,0.0,1093.0,1643.0,1348.0,55.0,255.0,0.033475349969567865,0.18916913946587538,CHULA VISTA,,,,,281401.0,91485.0,325.10545449376514,
CORONADO,2024,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,40.0,42.0,0.0,0.0,0.0,0.0,CORONADO,,,,,22610.0,9646.0,426.625386996904,
DEL MAR,2024,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,20.0,21.0,11.0,12.0,0.55,0.5714285714285714,DEL MAR,,,,,3950.0,2641.0,668.6075949367089,
EL CAJON,2024,0.0,0.0,0.0,96.0,0.0,29.0,85.0,0.0,0.0,0.0,20.0,0.0,17.0,50.0,210.0,87.0,125.0,37.0,0.5952380952380952,0.42528735632183906,EL CAJON,,,,,104932.0,37011.0,352.71413868028816,
ENCINITAS,2024,45.0,5.0,50.0,1.0,0.0,20.0,574.0,4.0,8.0,12.0,1.0,0.0,23.0,210.0,695.0,258.0,121.0,48.0,0.17410071942446043,0.18604651162790697,ENCINITAS,,,,,61956.0,27118.0,437.69772096326426,
ESCONDIDO,2024,4.0,51.0,0.0,42.0,0.0,8.0,303.0,0.0,32.0,10.0,21.0,0.0,9.0,173.0,408.0,245.0,105.0,72.0,0.25735294117647056,0.2938775510204082,ESCONDIDO,,,,,150425.0,50883.0,338.26159215555924,
IMPERIAL BEACH,2024,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,IMPERIAL BEACH,,,,,26369.0,10269.0,389.43456331298114,
LA MESA,2024,4.0,0.0,0.0,16.0,0.0,97.0,69.0,1.0,0.0,0.0,14.0,3.0,59.0,43.0,186.0,120.0,117.0,77.0,0.6290322580645161,0.6416666666666667,LA MESA,,,,,60908.0,26851.0,440.8452091679254,
LEMON GROVE,2024,0.0,0.0,0.0,4.0,0.0,0.0,61.0,0.0,0.0,0.0,10.0,0.0,0.0,150.0,65.0,160.0,4.0,10.0,0.06153846153846154,0.0625,LEMON GROVE,,,,,28163.0,9812.0,348.4003834818734,
NATIONAL CITY,2024,57.0,0.0,36.0,32.0,0.0,0.0,79.0,33.0,0.0,113.0,0.0,0.0,0.0,126.0,204.0,272.0,125.0,146.0,0.6127450980392157,0.5367647058823529,NATIONAL CITY,,,,,,,,
OCEANSIDE,2024,47.0,0.0,30.0,23.0,0.0,101.0,394.0,90.0,0.0,10.0,19.0,0.0,100.0,463.0,595.0,682.0,201.0,219.0,0.3378151260504202,0.32111436950146627,OCEANSIDE,,,,,174340.0,69097.0,396.3347481931857,
POWAY,2024,0.0,0.0,0.0,0.0,0.0,0.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,280.0,63.0,281.0,0.0,1.0,0.0,0.0035587188612099642,POWAY,,,,,50379.0,17773.0,352.7858830068084,
SAN DIEGO,2024,276.0,0.0,320.0,0.0,465.0,0.0,7721.0,137.0,0.0,463.0,0.0,95.0,0.0,4400.0,8782.0,5095.0,1061.0,695.0,0.12081530403097245,0.1364082433758587,SAN DIEGO,,,,,1408937.0,581050.0,412.4031095783559,
SAN MARCOS,2024,76.0,0.0,36.0,0.0,44.0,153.0,87.0,35.0,0.0,15.0,0.0,44.0,2.0,93.0,396.0,189.0,309.0,96.0,0.7803030303030303,0.5079365079365079,SAN MARCOS,,,,,97123.0,33157.0,341.3918433326812,
SANTEE,2024,0.0,0.0,0.0,4.0,0.0,21.0,46.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,71.0,35.0,25.0,9.0,0.352112676056338,0.2571428571428571,SANTEE,,,,,59568.0,22458.0,377.01450443190976,
SOLANA BEACH,2024,0.0,0.0,32.0,0.0,1.0,19.0,30.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,82.0,16.0,52.0,15.0,0.6341463414634146,0.9375,SOLANA BEACH,,,,,12986.0,6736.0,518.7124595718466,
VISTA,2024,0.0,0.0,0.0,0.0,0.0,0.0,218.0,54.0,0.0,0.0,0.0,0.0,0.0,167.0,218.0,221.0,0.0,54.0,0.0,0.24434389140271492,VISTA,,,,,101599.0,34384.0,338.42852783984097,
