jur_norm,bp_units_total,co_units_total,bp_affordable_share,co_affordable_share,population,median_household_income,median_gross_rent,pct_renter,housing_units_total,housing_units_per_1000_pop,rhna_target_total,units_reported_total,pct_achieved_total,co_units_per_10k_pop
CARLSBAD,289.0,234.0,0.23529411764705882,0.6581196581196581,114500,139326,2678,0.3666810668243105,48888.0,420.1154956689124,3873,1204,0.310870126516912,20.436681222707424
CHULA VISTA,1643.0,1348.0,0.033475349969567865,0.18916913946587538,275030,105173,2122,0.3982604204570798,91485.0,325.10545449376514,11105,5453,0.4910400720396218,49.01283496345853
CORONADO,40.0,42.0,0.0,0.0,18558,135056,3250,0.45428530548004004,9646.0,426.625386996904,912,180,0.19736842105263158,22.63174911089557
DEL MAR,20.0,21.0,0.55,0.5714285714285714,3921,192845,3377,0.45714285714285713,2641.0,668.6075949367089,163,97,0.5950920245398773,53.55776587605203
EL CAJON,210.0,87.0,0.5952380952380952,0.42528735632183906,104909,66478,1790,0.5890955099158477,37011.0,352.71413868028816,3280,575,0.17530487804878048,8.292901466985674
ENCINITAS,695.0,258.0,0.17410071942446043,0.18604651162790697,61585,150471,2730,0.33630853537030886,27118.0,437.69772096326426,1554,1264,0.8133848133848134,41.89331817812779
ESCONDIDO,408.0,245.0,0.25735294117647056,0.2938775510204082,149913,84477,1922,0.4778712148130601,50883.0,338.26159215555924,9607,1680,0.17487248881024253,16.34281216438868
IMPERIAL BEACH,29.0,29.0,0.0,0.0,25897,79071,1914,0.6933820369574559,10269.0,389.43456331298114,1329,142,0.10684725357411588,11.198208286674133
LA MESA,186.0,120.0,0.6290322580645161,0.6416666666666667,60835,84337,1958,0.5400349511478275,26851.0,440.8452091679254,3797,802,0.21121938372399263,19.725486972959644
LEMON GROVE,65.0,160.0,0.06153846153846154,0.0625,27489,79278,1769,0.466872274805913,9812.0,348.4003834818734,1359,317,0.2332597498160412,58.205100221906946
NATIONAL CITY,204.0,272.0,0.6127450980392157,0.5367647058823529,55960,64248,1619,0.6575737038292104,,,5437,658,0.12102262276990988,48.60614724803431
OCEANSIDE,595.0,682.0,0.3378151260504202,0.32111436950146627,172542,93724,2207,0.4153573114935604,69097.0,396.3347481931857,5443,2168,0.39830975564945803,39.52660801428058
POWAY,63.0,281.0,0.0,0.0035587188612099642,48515,143825,2261,0.24330915076510395,17773.0,352.7858830068084,1319,440,0.33358605003790753,57.920230856436156
SAN DIEGO,8782.0,5095.0,0.12081530403097245,0.1364082433758587,1385061,104321,2223,0.5242805652059003,581050.0,412.4031095783559,108036,28903,0.26753119330593506,36.78538345964546
SAN MARCOS,396.0,189.0,0.7803030303030303,0.5079365079365079,94078,105286,2191,0.36952720207253886,33157.0,341.3918433326812,3116,1798,0.5770218228498074,20.089712791513424
SANTEE,71.0,35.0,0.352112676056338,0.2571428571428571,59485,105613,2197,0.2805099312452254,22458.0,377.01450443190976,1219,477,0.391304347826087,5.88383626124233
SOLANA BEACH,82.0,16.0,0.6341463414634146,0.9375,12841,150820,3022,0.3161859268785596,6736.0,518.7124595718466,875,168,0.192,12.460088778132544
VISTA,218.0,221.0,0.0,0.24434389140271492,98646,91854,2148,0.5083809584623735,34384.0,338.42852783984097,2561,717,0.27996876220226474,22.403341240394948
