jur_norm,population,median_household_income,median_gross_rent,pct_renter,bp_units_total,co_units_total,bp_affordable_share,co_affordable_share,co_units_per_10k_pop
CARLSBAD,114500,139326,2678,0.3666810668243105,289.0,234.0,0.23529411764705882,0.6581196581196581,20.436681222707424
CHULA VISTA,275030,105173,2122,0.3982604204570798,1643.0,1348.0,0.033475349969567865,0.18916913946587538,49.01283496345853
CORONADO,18558,135056,3250,0.45428530548004004,40.0,42.0,0.0,0.0,22.63174911089557
DEL MAR,3921,192845,3377,0.45714285714285713,20.0,21.0,0.55,0.5714285714285714,53.55776587605203
EL CAJON,104909,66478,1790,0.5890955099158477,210.0,87.0,0.5952380952380952,0.42528735632183906,8.292901466985674
ENCINITAS,61585,150471,2730,0.33630853537030886,695.0,258.0,0.17410071942446043,0.18604651162790697,41.89331817812779
ESCONDIDO,149913,84477,1922,0.4778712148130601,408.0,245.0,0.25735294117647056,0.2938775510204082,16.34281216438868
IMPERIAL BEACH,25897,79071,1914,0.6933820369574559,29.0,29.0,0.0,0.0,11.198208286674133
LA MESA,60835,84337,1958,0.5400349511478275,186.0,120.0,0.6290322580645161,0.6416666666666667,19.725486972959644
LEMON GROVE,27489,79278,1769,0.466872274805913,65.0,160.0,0.06153846153846154,0.0625,58.205100221906946
NATIONAL CITY,55960,64248,1619,0.6575737038292104,204.0,272.0,0.6127450980392157,0.5367647058823529,48.60614724803431
OCEANSIDE,172542,93724,2207,0.4153573114935604,595.0,682.0,0.3378151260504202,0.32111436950146627,39.52660801428058
POWAY,48515,143825,2261,0.24330915076510395,63.0,281.0,0.0,0.0035587188612099642,57.920230856436156
SAN DIEGO,1385061,104321,2223,0.5242805652059003,8782.0,5095.0,0.12081530403097245,0.1364082433758587,36.78538345964546
SAN MARCOS,94078,105286,2191,0.36952720207253886,396.0,189.0,0.7803030303030303,0.5079365079365079,20.089712791513424
SANTEE,59485,105613,2197,0.2805099312452254,71.0,35.0,0.352112676056338,0.2571428571428571,5.88383626124233
SOLANA BEACH,12841,150820,3022,0.3161859268785596,82.0,16.0,0.6341463414634146,0.9375,12.460088778132544
VISTA,98646,91854,2148,0.5083809584623735,218.0,221.0,0.0,0.24434389140271492,22.403341240394948
