Jurisdiction,Planning Period,6th Cycle Started,VLI UNITS,RHNA VLI,VLI %,LI UNITS,RHNA LI,LI %,MOD UNITS,RHNA MOD,MOD %,ABOVE MOD UNITS,RHNA ABOVE MOD,ABOVE MOD %,jur_clean,units_reported_total,rhna_target_total,pct_achieved,cycle_label
CARLSBAD,04/30/2021 - 04/30/2029,True,49,1311,0.04,179,784,0.23,292,749,0.39,684,1029,0.66,CARLSBAD,1204,3873,0.310870126516912,RHNA6
DEL MAR,04/30/2021 - 04/30/2029,True,0,37,0.0,0,64,0.0,55,31,1.77,42,31,1.35,DEL MAR,97,163,0.5950920245398773,RHNA6
CORONADO,04/30/2021 - 04/30/2029,True,0,312,0.0,0,169,0.0,0,159,0.0,180,272,0.66,CORONADO,180,912,0.19736842105263158,RHNA6
ESCONDIDO,04/30/2021 - 04/30/2029,True,158,1864,0.08,155,1249,0.12,63,1527,0.04,1304,4967,0.26,ESCONDIDO,1680,9607,0.17487248881024253,RHNA6
EL CAJON,04/30/2021 - 04/30/2029,True,0,481,0.0,243,414,0.59,109,518,0.21,223,1867,0.12,EL CAJON,575,3280,0.17530487804878048,RHNA6
CHULA VISTA,04/30/2021 - 04/30/2029,True,167,2750,0.06,440,1777,0.25,0,1911,0.0,4846,4667,1.04,CHULA VISTA,5453,11105,0.4910400720396218,RHNA6
IMPERIAL BEACH,04/30/2021 - 04/30/2029,True,0,225,0.0,0,123,0.0,0,183,0.0,142,798,0.18,IMPERIAL BEACH,142,1329,0.10684725357411588,RHNA6
ENCINITAS,04/30/2021 - 04/30/2029,True,103,469,0.22,72,369,0.2,108,308,0.35,981,408,2.4,ENCINITAS,1264,1554,0.8133848133848134,RHNA6
LEMON GROVE,04/30/2021 - 04/30/2029,True,0,295,0.0,17,166,0.1,0,193,0.0,300,705,0.43,LEMON GROVE,317,1359,0.2332597498160412,RHNA6
LA MESA,04/30/2021 - 04/30/2029,True,16,859,0.02,145,487,0.3,343,577,0.59,298,1874,0.16,LA MESA,802,3797,0.21121938372399263,RHNA6
SAN DIEGO,04/30/2021 - 04/30/2029,True,1862,27549,0.07,2179,17331,0.13,740,19319,0.04,24122,43837,0.55,SAN DIEGO,28903,108036,0.26753119330593506,RHNA6
POWAY,04/30/2021 - 04/30/2029,True,1,468,0.0,0,268,0.0,80,241,0.33,359,342,1.05,POWAY,440,1319,0.33358605003790753,RHNA6
OCEANSIDE,04/30/2021 - 04/30/2029,True,134,1268,0.11,100,718,0.14,448,883,0.51,1486,2574,0.58,OCEANSIDE,2168,5443,0.39830975564945803,RHNA6
SOLANA BEACH,04/30/2021 - 04/30/2029,True,0,316,0.0,32,159,0.2,72,160,0.45,64,240,0.27,SOLANA BEACH,168,875,0.192,RHNA6
SANTEE,04/30/2021 - 04/30/2029,True,0,406,0.0,4,200,0.02,175,188,0.93,298,425,0.7,SANTEE,477,1219,0.391304347826087,RHNA6
SAN MARCOS,04/30/2021 - 04/30/2029,True,136,728,0.19,60,530,0.11,915,542,1.69,687,1316,0.52,SAN MARCOS,1798,3116,0.5770218228498074,RHNA6
VISTA,04/30/2021 - 04/30/2029,True,57,515,0.11,4,321,0.01,0,369,0.0,656,1356,0.48,VISTA,717,2561,0.27996876220226474,RHNA6
NATIONAL CITY,04/30/2021 - 04/30/2029,True,91,645,0.14,268,506,0.53,0,711,0.0,299,3575,0.08,NATIONAL CITY,658,5437,0.12102262276990988,RHNA6
