NAME,GEOID,jur_norm
Carlsbad,0611194,CARLSBAD
National City,0650398,NATIONAL
Santee,0670224,SANTEE
Coronado,0616378,CORONADO
Escondido,0622804,ESCONDIDO
Imperial Beach,0636294,IMPERIAL BEACH
Solana Beach,0672506,SOLANA BEACH
Lemon Grove,0641124,LEMON GROVE
Chula Vista,0613392,CHULA VISTA
San Diego,0666000,SAN DIEGO
El Cajon,0621712,EL CAJON
Encinitas,0622678,ENCINITAS
La Mesa,0640004,LA MESA
Oceanside,0653322,OCEANSIDE
Poway,0658520,POWAY
San Marcos,0668196,SAN MARCOS
Vista,0682996,VISTA
Del Mar,0618506,DEL MAR
